concepts,image_paths,sentences,start,end
argument,stimuli/images/Argument/argument_1.jpg,The new evidence helped his argument.,28,36
argument,stimuli/images/Argument/argument_2.jpg,I cannot confirm whether this argument is more valid. ,30,38
argument,stimuli/images/Argument/argument_3.jpg,The first argument has a better explanation.,10,18
argument,stimuli/images/Argument/argument_4.jpg,This argument has no conclusion.,5,13
argument,stimuli/images/Argument/argument_5.jpg,The statement supports the second argument better. ,34,42
argument,stimuli/images/Argument/argument_6.jpg,The truth cannot be found with this argument. ,36,44
argumentatively,stimuli/images/Argumentatively/argumentatively_1.jpg,"He said his point argumentatively, and unadvisedly so.",18,33
argumentatively,stimuli/images/Argumentatively/argumentatively_2.jpg,"Judging on how argumentatively she spoke, I'd say she's hardhearted. ",15,30
argumentatively,stimuli/images/Argumentatively/argumentatively_3.jpg,She pitilessly tore apart his argumentatively structured essay.,30,45
argumentatively,stimuli/images/Argumentatively/argumentatively_4.jpg,The opaquely constructed thought meshed with how argumentatively she attacked him.,49,64
argumentatively,stimuli/images/Argumentatively/argumentatively_5.jpg,She approached the conversation precociously and argumentatively.,49,64
argumentatively,stimuli/images/Argumentatively/argumentatively_6.jpg,"Beginning provocatively and ending argumentatively, he made a bad impression.",35,50
art,stimuli/images/Art/art_1.jpg,The poetry workshop was a work of art in itself.,34,37
art,stimuli/images/Art/art_2.jpg,The tradition of art in this school is strong. ,17,20
art,stimuli/images/Art/art_3.jpg,The art exhibition left many breathless.,4,7
art,stimuli/images/Art/art_4.jpg,The contemporary art left much to be desired. ,17,20
art,stimuli/images/Art/art_5.jpg,Medieval art is not up her alley.,9,12
art,stimuli/images/Art/art_6.jpg,The irony of the piece was that it wasn't art in any shape or form.,42,45
attitude,stimuli/images/Attitude/attitude_1.jpg,She has a negative attitude.,19,27
attitude,stimuli/images/Attitude/attitude_2.jpg,His selfish attitude won't get him far. ,12,20
attitude,stimuli/images/Attitude/attitude_3.jpg,"Generally, her attitude is condescending. ",15,23
attitude,stimuli/images/Attitude/attitude_4.jpg,He needs to work on his domineering attitude.,36,44
attitude,stimuli/images/Attitude/attitude_5.jpg,His humorless attitude is stereotypical for his family.,14,22
attitude,stimuli/images/Attitude/attitude_6.jpg,His attitude about this problem is nonchalant. ,4,12
bag,stimuli/images/Bag/bag_1.jpg,She wanted to pack a bag for the day trip. ,21,24
bag,stimuli/images/Bag/bag_2.jpg,He put his wallet in her bag.,25,28
bag,stimuli/images/Bag/bag_3.jpg,The leather bag fell from the shelf.,12,15
bag,stimuli/images/Bag/bag_4.jpg,He had a bag and a laptop to put in it.,9,12
bag,stimuli/images/Bag/bag_5.jpg,The trusty satchel was her favorite bag. ,36,39
bag,stimuli/images/Bag/bag_6.jpg,The umbrella was too big for her bag.,33,36
ball,stimuli/images/Ball/ball_1.jpg,He hit the ball out of the field.,11,15
ball,stimuli/images/Ball/ball_2.jpg,She could not pass the ball for the life of her.,23,27
ball,stimuli/images/Ball/ball_3.jpg,She could dunk the ball like a pro.,19,23
ball,stimuli/images/Ball/ball_4.jpg,Getting a puck can be easier than a ball.,36,40
ball,stimuli/images/Ball/ball_5.jpg,The ball bounced off the backboard. ,4,8
ball,stimuli/images/Ball/ball_6.jpg,He gave the ball a quick jab. ,12,16
bar,stimuli/images/Bar/bar_1.jpg,The bar looked like an ancient tavern. ,4,7
bar,stimuli/images/Bar/bar_2.jpg,"Cowboys don't go to bars, they prefer saloons.",20,24
bar,stimuli/images/Bar/bar_3.jpg,He learned quickly that most bars don't cater. ,29,33
bar,stimuli/images/Bar/bar_4.jpg,That bar was their new favorite venue to hang out at. ,5,8
bar,stimuli/images/Bar/bar_5.jpg,The popular nightclub had added a new bar. ,38,41
bar,stimuli/images/Bar/bar_6.jpg,The bar had an urban feel to it. ,4,7
bear,stimuli/images/Bear/bear_1.jpg,That bear would chase you in a minute.,5,9
bear,stimuli/images/Bear/bear_2.jpg,The woodpecker was not afraid of the bear.,37,41
bear,stimuli/images/Bear/bear_3.jpg,The caribou and the bear could smell one another.,20,24
bear,stimuli/images/Bear/bear_4.jpg,The bear found its next prey in the hare.,4,8
bear,stimuli/images/Bear/bear_5.jpg,The swan was not bothered by the bear.,33,37
bear,stimuli/images/Bear/bear_6.jpg,The bear ran from the rattlesnake. ,4,8
beat,stimuli/images/Beat/beat_1.jpg,The beat of the music was soulful.,4,8
beat,stimuli/images/Beat/beat_2.jpg,The song had a catchy beat.,22,26
beat,stimuli/images/Beat/beat_3.jpg,She tapped her foot to the rhythmic beat.,36,40
beat,stimuli/images/Beat/beat_4.jpg,He thought that the beat had a good vibe.,20,24
beat,stimuli/images/Beat/beat_5.jpg,People thrashed their heads to the beat. ,35,39
beat,stimuli/images/Beat/beat_6.jpg,She can strum the beat on her guitar. ,18,22
bed,stimuli/images/Bed/bed_1.jpg,She enjoyed sleeping in her own bed.,32,35
bed,stimuli/images/Bed/bed_2.jpg,The cot replaced the bed for the night.,21,24
bed,stimuli/images/Bed/bed_3.jpg,Napping in bed can be good for you.,11,14
bed,stimuli/images/Bed/bed_4.jpg,The toddler crawled onto the bed.,29,32
bed,stimuli/images/Bed/bed_5.jpg,The bed cushions sagged quickly.,4,7
bed,stimuli/images/Bed/bed_6.jpg,He took the blanket off of the bed.,31,34
beer,stimuli/images/Beer/beer_1.jpg,Guys tend to like beer more than wine.,18,22
beer,stimuli/images/Beer/beer_2.jpg,He grabbed a bottle of beer from the fridge. ,23,27
beer,stimuli/images/Beer/beer_3.jpg,The bartender served her a cold wheat beer.,38,42
beer,stimuli/images/Beer/beer_4.jpg,She ordered a margarita after seeing the beer options.,41,45
beer,stimuli/images/Beer/beer_5.jpg,On this hot day she was dying for a pint of beer.,44,48
beer,stimuli/images/Beer/beer_6.jpg,"He was thirsty, but luckily he had lots of beer in the fridge. ",43,47
big,stimuli/images/Big/big_1.jpg,He preferred to be a big fish in a small pond.,21,24
big,stimuli/images/Big/big_2.jpg,"While he wasn't quite obese, he had gotten quite big.",49,52
big,stimuli/images/Big/big_3.jpg,Cutting down the branches of the big tree was a substantial job.,33,36
big,stimuli/images/Big/big_4.jpg,His big feet were disproportionate to the rest of his body.,4,7
big,stimuli/images/Big/big_5.jpg,There was a big selection of a hodgepodge of foods.,12,15
big,stimuli/images/Big/big_6.jpg,A bucketful of big strawberries awaited them. ,15,18
bird,stimuli/images/Bird/bird_1.jpg,The bird flew around the cage.,4,8
bird,stimuli/images/Bird/bird_2.jpg,The nest was just big enough for the bird.,37,41
bird,stimuli/images/Bird/bird_3.jpg,The only bird she could see was the parrot.,9,13
bird,stimuli/images/Bird/bird_4.jpg,The bird poked its head out of the hatch.,4,8
bird,stimuli/images/Bird/bird_5.jpg,The bird was holding the worm in its beak. ,4,8
bird,stimuli/images/Bird/bird_6.jpg,The bird preened itself for mating.,4,8
blood,stimuli/images/Blood/blood_1.jpg,She had been bleeding for a while so there was a lot of blood.,56,61
blood,stimuli/images/Blood/blood_2.jpg,She has been having issues with blood circulation in her legs.,32,37
blood,stimuli/images/Blood/blood_3.jpg,Blood began to fill the wound.,0,5
blood,stimuli/images/Blood/blood_4.jpg,Blood spurted out of the rupture. ,0,5
blood,stimuli/images/Blood/blood_5.jpg,Blood flows through the major artery.,0,5
blood,stimuli/images/Blood/blood_6.jpg,The blood in a vein appears blue through our skin. ,4,9
body,stimuli/images/Body/body_1.jpg,The man had a very athletic body. ,28,32
body,stimuli/images/Body/body_2.jpg,Her body was very skinny.,4,8
body,stimuli/images/Body/body_3.jpg,She felt like her body was frumpy.,18,22
body,stimuli/images/Body/body_4.jpg,The body of the dress made her look shapeless.,4,8
body,stimuli/images/Body/body_5.jpg,The midsection of his body was well trained.,22,26
body,stimuli/images/Body/body_6.jpg,"Outside of the limelight, the model's body was unimposing. ",38,42
brain,stimuli/images/Brain/brain_1.jpg,The human brain continues to amaze us today.,10,15
brain,stimuli/images/Brain/brain_2.jpg,The brain is made up of cells. ,4,9
brain,stimuli/images/Brain/brain_3.jpg,Awake surgery is possible because the brain has no nerve endings.,38,43
brain,stimuli/images/Brain/brain_4.jpg,A fundamental unit of the brain is the neuron. ,26,31
brain,stimuli/images/Brain/brain_5.jpg,Neuroscientists research the localization of functions in the brain.,62,67
brain,stimuli/images/Brain/brain_6.jpg,The cerebellum is one of the oldest parts of the brain. ,49,54
broken,stimuli/images/Broken/broken_1.jpg,The missing mirror turned out to be broken.,36,42
broken,stimuli/images/Broken/broken_2.jpg,The broken leg made the table unstable.,4,10
broken,stimuli/images/Broken/broken_3.jpg,She dangerously teetered on the broken chair.,32,38
broken,stimuli/images/Broken/broken_4.jpg,The disorganized room was full of broken things.,34,40
broken,stimuli/images/Broken/broken_5.jpg,The computer was hopelessly broken. ,28,34
broken,stimuli/images/Broken/broken_6.jpg,The door hung crooked after being broken. ,34,40
building,stimuli/images/Building/building_1.jpg,The building used to be a theater.,4,12
building,stimuli/images/Building/building_2.jpg,The library building has been around for years.,12,20
building,stimuli/images/Building/building_3.jpg,Their building is a mansion just for themselves.,6,14
building,stimuli/images/Building/building_4.jpg,The janitor put a mousetrap at the entrance of the building.,51,59
building,stimuli/images/Building/building_5.jpg,The skyscraper is the city's newest building.,36,44
building,stimuli/images/Building/building_6.jpg,The mosque is the lowest building on the street. ,25,33
burn,stimuli/images/Burn/burn_1.jpg,The fire would burn slowly. ,15,19
burn,stimuli/images/Burn/burn_2.jpg,The cigarette could burn her skin. ,20,24
burn,stimuli/images/Burn/burn_3.jpg,A blowtorch will burn all night. ,17,21
burn,stimuli/images/Burn/burn_4.jpg,The inflammable jacket will never burn. ,34,38
burn,stimuli/images/Burn/burn_5.jpg,The heat of the stove in itself can burn you. ,36,40
burn,stimuli/images/Burn/burn_6.jpg,The flashbulb may burn the curtain. ,18,22
business,stimuli/images/Business/business_1.jpg,Banking and business make no sense to me.,12,20
business,stimuli/images/Business/business_2.jpg,The company wanted to improve its business sector.,34,42
business,stimuli/images/Business/business_3.jpg,He wanted to invest in a better business.  ,32,40
business,stimuli/images/Business/business_4.jpg,Her business needed to take out a loan.,4,12
business,stimuli/images/Business/business_5.jpg,The business wanted to expand its physical property.,4,12
business,stimuli/images/Business/business_6.jpg,This new business venture could make her rich. ,9,17
camera,stimuli/images/Camera/camera_1.jpg,The best camera has an unremarkable screen size. ,9,15
camera,stimuli/images/Camera/camera_2.jpg,The spectrum of colors that this camera captures is unreal.,33,39
camera,stimuli/images/Camera/camera_3.jpg,The camera shutter broke as it fell on the concrete. ,4,10
camera,stimuli/images/Camera/camera_4.jpg,The camera didn't focus and took poor-quality pictures.,4,10
camera,stimuli/images/Camera/camera_5.jpg,The camera display had numerous menu options. ,4,10
camera,stimuli/images/Camera/camera_6.jpg,The camera reflex was too slow for what he wanted. ,4,10
carefully,stimuli/images/Carefully/carefully_1.jpg,She carefully handled the roses one by one.,4,13
carefully,stimuli/images/Carefully/carefully_2.jpg,She performed the job carefully yet efficiently. ,22,31
carefully,stimuli/images/Carefully/carefully_3.jpg,He creatively described the problem while carefully explaining the details.,42,51
carefully,stimuli/images/Carefully/carefully_4.jpg,The food was neatly and carefully arranged. ,24,33
carefully,stimuli/images/Carefully/carefully_5.jpg,The house was carefully and flawlessly constructed. ,14,23
carefully,stimuli/images/Carefully/carefully_6.jpg,"She conducted it so carefully, that the outcome was brilliantly designed. ",20,29
challenge,stimuli/images/Challenge/challenge_1.jpg,This problem proved to be a challenge.,28,37
challenge,stimuli/images/Challenge/challenge_2.jpg,The hardship was a challenge she could overcome. ,19,28
challenge,stimuli/images/Challenge/challenge_3.jpg,A challenge is an obstacle to overcome.,2,11
challenge,stimuli/images/Challenge/challenge_4.jpg,The challenge's burden scared her.,4,13
challenge,stimuli/images/Challenge/challenge_5.jpg,It was critical to the team that he passed this challenge.,48,57
challenge,stimuli/images/Challenge/challenge_6.jpg,The way he passed the challenge was formidable. ,22,31
charity,stimuli/images/Charity/charity_1.jpg,This group often volunteers for charity.,32,39
charity,stimuli/images/Charity/charity_2.jpg,The social organization developed a new devotion to charity.,52,59
charity,stimuli/images/Charity/charity_3.jpg,The charity was improving its monetary allocations.,4,11
charity,stimuli/images/Charity/charity_4.jpg,The charity event increased everyone's awareness of the worthy cause.,4,11
charity,stimuli/images/Charity/charity_5.jpg,The charity is a resource for families with needs to turn to. ,4,11
charity,stimuli/images/Charity/charity_6.jpg,I encourage you to participate in the charity fundraiser. ,38,45
charming,stimuli/images/Charming/charming_1.jpg,The ambitious salesman was quite charming.,33,41
charming,stimuli/images/Charming/charming_2.jpg,Her loveable laugh was charming.,23,31
charming,stimuli/images/Charming/charming_3.jpg,His charming smile was beguiling. ,4,12
charming,stimuli/images/Charming/charming_4.jpg,The speaker's charismatic nature was charming.,37,45
charming,stimuli/images/Charming/charming_5.jpg,The charming toddler's mischievousness got him into trouble. ,4,12
charming,stimuli/images/Charming/charming_6.jpg,The proposal was charming and rather gutsy. ,17,25
clothes,stimuli/images/Clothes/clothes_1.jpg,None of his clothes are made of mesh.,12,19
clothes,stimuli/images/Clothes/clothes_2.jpg,Sizing a growing boy's clothes is a difficult task. ,23,30
clothes,stimuli/images/Clothes/clothes_3.jpg,That hat doesn't match his clothes. ,27,34
clothes,stimuli/images/Clothes/clothes_4.jpg,His clothes are often made of flannel. ,4,11
clothes,stimuli/images/Clothes/clothes_5.jpg,Sports clothes are usually made of spandex.,7,14
clothes,stimuli/images/Clothes/clothes_6.jpg,His jacket protected his clothes from getting wet.  ,25,32
cockroach,stimuli/images/Cockroach/cockroach_1.jpg,The pest control killed the cockroach speedily. ,28,37
cockroach,stimuli/images/Cockroach/cockroach_2.jpg,The cockroach fed off the mold.,4,13
cockroach,stimuli/images/Cockroach/cockroach_3.jpg,The cockroach ate the ant.,4,13
cockroach,stimuli/images/Cockroach/cockroach_4.jpg,"In the kids story, the grasshopper and the cockroach became friends.",43,52
cockroach,stimuli/images/Cockroach/cockroach_5.jpg,The cockroach infestation overwhelmed her. ,4,13
cockroach,stimuli/images/Cockroach/cockroach_6.jpg,The pesky cockroach managed to survive.  ,10,19
code,stimuli/images/Code/code_1.jpg,Please change the code to make it run faster.,18,22
code,stimuli/images/Code/code_2.jpg,He saved the code quickly when he came up with a new solution.,13,17
code,stimuli/images/Code/code_3.jpg,She added new code to the script.,14,18
code,stimuli/images/Code/code_4.jpg,"He could code like a pro, but he couldn't type fast.",9,13
code,stimuli/images/Code/code_5.jpg,The key to good code is simplicity. ,16,20
code,stimuli/images/Code/code_6.jpg,She needs to modify her code to take user's inputs.,24,28
collection,stimuli/images/Collection/collection_1.jpg,Her collection of precious antiques was her pride and joy.,4,14
collection,stimuli/images/Collection/collection_2.jpg,He hoarded a collection of autographs of famous people.,13,23
collection,stimuli/images/Collection/collection_3.jpg,"Since childhood, she has been growing a collection of postcards and other souvenirs.",40,50
collection,stimuli/images/Collection/collection_4.jpg,He stole more than one stamp to complete his collection.,45,55
collection,stimuli/images/Collection/collection_5.jpg,The item wasn't worth adding to the collection.,36,46
collection,stimuli/images/Collection/collection_6.jpg,She assembled a collection from items bought at auctions.,16,26
computer,stimuli/images/Computer/computer_1.jpg,The system crashed so he needed another computer.,40,48
computer,stimuli/images/Computer/computer_2.jpg,Running the application made the computer freeze.,33,41
computer,stimuli/images/Computer/computer_3.jpg,She has never used this kind of interface on her computer before.,49,57
computer,stimuli/images/Computer/computer_4.jpg,The infrastructure of the computer might as well be a black box.,26,34
computer,stimuli/images/Computer/computer_5.jpg,He was streaming music from his computer. ,32,40
computer,stimuli/images/Computer/computer_6.jpg,His desktop computer is pretty old. ,12,20
construction,stimuli/images/Construction/construction_1.jpg,Construction slowed down as soon as the last wall was put up.,0,12
construction,stimuli/images/Construction/construction_2.jpg,Plastering is an important step in construction.,35,47
construction,stimuli/images/Construction/construction_3.jpg,The construction process began with flooring.,4,16
construction,stimuli/images/Construction/construction_4.jpg,The remodeling would require three years of construction.,44,56
construction,stimuli/images/Construction/construction_5.jpg,The homeowner hated the noise of construction.,33,45
construction,stimuli/images/Construction/construction_6.jpg,The workmanship of the construction company was amazing.  ,23,35
cook,stimuli/images/Cook/cook_1.jpg,To cook the fish you have to defrost it first. ,3,7
cook,stimuli/images/Cook/cook_2.jpg,"If she wanted to cook, she would need a larger fridge. ",17,21
cook,stimuli/images/Cook/cook_3.jpg,He thought he could cook when he bought the pan.,20,24
cook,stimuli/images/Cook/cook_4.jpg,The steaming pot revealed how well she could cook. ,45,49
cook,stimuli/images/Cook/cook_5.jpg,He thought you had to cook the dough. ,22,26
cook,stimuli/images/Cook/cook_6.jpg,"To cook the stew, first warm up the stove. ",3,7
counting,stimuli/images/Counting/counting_1.jpg,He couldn't count past five. ,12,20
counting,stimuli/images/Counting/counting_2.jpg,He will count backwards to one.,8,16
counting,stimuli/images/Counting/counting_3.jpg,She was already able to count to a hundred.  ,24,32
counting,stimuli/images/Counting/counting_4.jpg,I will count by fives to speed it up. ,7,15
counting,stimuli/images/Counting/counting_5.jpg,I can count the tally for you.  ,6,14
counting,stimuli/images/Counting/counting_6.jpg,He will count up to fourteen. ,8,16
crazy,stimuli/images/Crazy/crazy_1.jpg,His nightmare drove him crazy.,24,29
crazy,stimuli/images/Crazy/crazy_2.jpg,The crazy taxi driver was freaky.,4,9
crazy,stimuli/images/Crazy/crazy_3.jpg,The animal had a crazy and bloodthirsty look to it. ,17,22
crazy,stimuli/images/Crazy/crazy_4.jpg,The crazy demon was just grotesque. ,4,9
crazy,stimuli/images/Crazy/crazy_5.jpg,The ritual felt crazy and animalistic.,16,21
crazy,stimuli/images/Crazy/crazy_6.jpg,"As crazy as the dystopia was, it was his new life. ",3,8
damage,stimuli/images/Damage/damage_1.jpg,The accident left some serious damage.,31,37
damage,stimuli/images/Damage/damage_2.jpg,The impact of the snow required damage control.,32,38
damage,stimuli/images/Damage/damage_3.jpg,The possibility of damage kept her nervous.,19,25
damage,stimuli/images/Damage/damage_4.jpg,The inevitable damage caused by the storm was all he could talk about.,15,21
damage,stimuli/images/Damage/damage_5.jpg,Severe damage from the flood left many without a home.,7,13
damage,stimuli/images/Damage/damage_6.jpg,The amount of damage in the streets was unexpected. ,14,20
dance,stimuli/images/Dance/dance_1.jpg,He had to shuffle through the steps of the dance.,43,48
dance,stimuli/images/Dance/dance_2.jpg,She learned how the dance in ballroom class last year.,20,25
dance,stimuli/images/Dance/dance_3.jpg,Juggling dance and gymnastics was hard.,9,14
dance,stimuli/images/Dance/dance_4.jpg,The Irish folk dance requires fast footwork.,15,20
dance,stimuli/images/Dance/dance_5.jpg,He was found dancing the dance all the time.,25,30
dance,stimuli/images/Dance/dance_6.jpg,Walking the dance helped him learn it. ,12,17
dangerous,stimuli/images/Dangerous/dangerous_1.jpg,The punishment was dangerous and cruel.,19,28
dangerous,stimuli/images/Dangerous/dangerous_2.jpg,Climbing that bridge was boneheaded and dangerous. ,40,49
dangerous,stimuli/images/Dangerous/dangerous_3.jpg,Aggravating the president was unpatriotic and plain dangerous.,52,61
dangerous,stimuli/images/Dangerous/dangerous_4.jpg,It was unwise to take on that dangerous of a task. ,30,39
dangerous,stimuli/images/Dangerous/dangerous_5.jpg,The dangerous monster smelled atrociously.,4,13
dangerous,stimuli/images/Dangerous/dangerous_6.jpg,It is unacceptable how dangerous these living conditions are. ,23,32
deceive,stimuli/images/Deceive/deceive_1.jpg,To lie is to deceive.,13,20
deceive,stimuli/images/Deceive/deceive_2.jpg,How could he deceive her in such a devious way?,13,20
deceive,stimuli/images/Deceive/deceive_3.jpg,His ploy was to deceive the old lady over a long period of time. ,16,23
deceive,stimuli/images/Deceive/deceive_4.jpg,The plan was to bribe and deceive him quickly. ,26,33
deceive,stimuli/images/Deceive/deceive_5.jpg,"She did not want to deceive him, but she was too far into the operative now. ",20,27
deceive,stimuli/images/Deceive/deceive_6.jpg,The motive was serious enough for him to deceive his friend. ,41,48
dedication,stimuli/images/Dedication/dedication_1.jpg,His passionate proclamation demonstrated his dedication.,45,55
dedication,stimuli/images/Dedication/dedication_2.jpg,His dedication to his job is what made him so successful.,4,14
dedication,stimuli/images/Dedication/dedication_3.jpg,Her dedication spurred her pursuit of the best caterer.,4,14
dedication,stimuli/images/Dedication/dedication_4.jpg,Her dedication mirrored her commitment to the task.,4,14
dedication,stimuli/images/Dedication/dedication_5.jpg,His dedication to the relationship meant he was very faithful to her. ,4,14
dedication,stimuli/images/Dedication/dedication_6.jpg,Her loyal dedication was demonstrated over the years.  ,10,20
deliberately,stimuli/images/Deliberately/deliberately_1.jpg,She deliberately and wrongfully hurt her friend.,4,16
deliberately,stimuli/images/Deliberately/deliberately_2.jpg,He ruthlessly and deliberately ignored her that night. ,18,30
deliberately,stimuli/images/Deliberately/deliberately_3.jpg,She inadvertently stepped on him and he deliberately pushed her in response.,40,52
deliberately,stimuli/images/Deliberately/deliberately_4.jpg,"He arbitrarily, rather than deliberately, asked her out. ",28,40
deliberately,stimuli/images/Deliberately/deliberately_5.jpg,The decision was made deliberately and it unjustly cost her her job.,22,34
deliberately,stimuli/images/Deliberately/deliberately_6.jpg,He foolishly accepted the offer that deliberately cut his wage in half. ,37,49
delivery,stimuli/images/Delivery/delivery_1.jpg,The website offered free delivery. ,25,33
delivery,stimuli/images/Delivery/delivery_2.jpg,The delivery date was unclear. ,4,12
delivery,stimuli/images/Delivery/delivery_3.jpg,The form of delivery was up to him. ,12,20
delivery,stimuli/images/Delivery/delivery_4.jpg,She wanted to intercept the delivery so that no one else could see it.,28,36
delivery,stimuli/images/Delivery/delivery_5.jpg,He wanted confirmation of the delivery. ,30,38
delivery,stimuli/images/Delivery/delivery_6.jpg,"Because time was of essence, she requested express delivery.",51,59
dessert,stimuli/images/Dessert/dessert_1.jpg,Ice cream is her favorite dessert.,26,33
dessert,stimuli/images/Dessert/dessert_2.jpg,Candy is a good choice for dessert.,27,34
dessert,stimuli/images/Dessert/dessert_3.jpg,The dessert at the dinner was fruitcake.,4,11
dessert,stimuli/images/Dessert/dessert_4.jpg,Yogurt did not replace dessert in her mind.,23,30
dessert,stimuli/images/Dessert/dessert_5.jpg,The jelly sandwich was practically dessert. ,35,42
dessert,stimuli/images/Dessert/dessert_6.jpg,The filling of the dessert was marvelous. ,19,26
device,stimuli/images/Device/device_1.jpg,She didn't understand how to position the antenna so that the device would work.,62,68
device,stimuli/images/Device/device_2.jpg,The device was wired in a very simple way. ,4,10
device,stimuli/images/Device/device_3.jpg,She had to coax the device to get it going again. ,20,26
device,stimuli/images/Device/device_4.jpg,The switch on the device popped off unexpectedly.,18,24
device,stimuli/images/Device/device_5.jpg,The device was disconnected from the power outlet.,4,10
device,stimuli/images/Device/device_6.jpg,The transistor was built into the device. ,34,40
dig,stimuli/images/Dig/dig_1.jpg,He can dig and discover all he wants. ,7,10
dig,stimuli/images/Dig/dig_2.jpg,The erosion made it difficult to dig.,33,36
dig,stimuli/images/Dig/dig_3.jpg,He didn't want to dig in the excavation.,18,21
dig,stimuli/images/Dig/dig_4.jpg,The fossil was found after most people didn't want to dig anymore.  ,54,57
dig,stimuli/images/Dig/dig_5.jpg,You can dig a ditch in a few hours.,8,11
dig,stimuli/images/Dig/dig_6.jpg,"While he wanted to dig, he didn't want to be underground. ",19,22
dinner,stimuli/images/Dinner/dinner_1.jpg,Her lunch is often made up of leftovers from dinner. ,45,51
dinner,stimuli/images/Dinner/dinner_2.jpg,He wanted a sandwich for dinner.,25,31
dinner,stimuli/images/Dinner/dinner_3.jpg,Noodles from dinner were still on the table.  ,13,19
dinner,stimuli/images/Dinner/dinner_4.jpg,Fondue for dinner is her favorite.,11,17
dinner,stimuli/images/Dinner/dinner_5.jpg,I would like to serve dinner now.,22,28
dinner,stimuli/images/Dinner/dinner_6.jpg,The dinner was super yummy. ,4,10
disease,stimuli/images/Disease/disease_1.jpg,Heart disease is common in the U.S.,6,13
disease,stimuli/images/Disease/disease_2.jpg,Type Two Diabetes is a disease that usually only adults get.,23,30
disease,stimuli/images/Disease/disease_3.jpg,The tumor was a symptom of a serious disease.,37,44
disease,stimuli/images/Disease/disease_4.jpg,Abnormal test results indicated the onset of a disease.,47,54
disease,stimuli/images/Disease/disease_5.jpg,The patient was relieved to hear that his disease was in remission. ,42,49
disease,stimuli/images/Disease/disease_6.jpg,They didn't know the source of his respiratory disease. ,47,54
dissolve,stimuli/images/Dissolve/dissolve_1.jpg,Inject some more solution to dissolve the powder.,29,37
dissolve,stimuli/images/Dissolve/dissolve_2.jpg,You won't dissolve the issue by asking them to disperse. ,10,18
dissolve,stimuli/images/Dissolve/dissolve_3.jpg,Dissolve the substance and let it evaporate. ,0,8
dissolve,stimuli/images/Dissolve/dissolve_4.jpg,Distill and dissolve the issue immediately. ,12,20
dissolve,stimuli/images/Dissolve/dissolve_5.jpg,You won't dissolve the memory if you compartmentalize it. ,10,18
dissolve,stimuli/images/Dissolve/dissolve_6.jpg,Demystify and dissolve the rumor. ,14,22
disturb,stimuli/images/Disturb/disturb_1.jpg,His insult will disturb her deeply.,16,23
