concept_id,concept_name,concreteness_rating,Pereira_image_paths,Pereira_sentences
11,ball,5.0,"['stimuli/images/Ball/ball_1.jpg', 'stimuli/images/Ball/ball_2.jpg', 'stimuli/images/Ball/ball_3.jpg', 'stimuli/images/Ball/ball_4.jpg', 'stimuli/images/Ball/ball_5.jpg', 'stimuli/images/Ball/ball_6.jpg']","['He hit the ball out of the field.', 'She could not pass the ball for the life of her.', 'She could dunk the ball like a pro.', 'Getting a puck can be easier than a ball.', 'The ball bounced off the backboard. ', 'He gave the ball a quick jab. ']"
12,bar,4.67,"['stimuli/images/Bar/bar_1.jpg', 'stimuli/images/Bar/bar_2.jpg', 'stimuli/images/Bar/bar_3.jpg', 'stimuli/images/Bar/bar_4.jpg', 'stimuli/images/Bar/bar_5.jpg', 'stimuli/images/Bar/bar_6.jpg']","['The bar looked like an ancient tavern. ', ""Cowboys don't go to bars, they prefer saloons."", ""He learned quickly that most bars don't cater. "", 'That bar was their new favorite venue to hang out at. ', 'The popular nightclub had added a new bar. ', 'The bar had an urban feel to it. ']"
13,bear,4.88,"['stimuli/images/Bear/bear_1.jpg', 'stimuli/images/Bear/bear_2.jpg', 'stimuli/images/Bear/bear_3.jpg', 'stimuli/images/Bear/bear_4.jpg', 'stimuli/images/Bear/bear_5.jpg', 'stimuli/images/Bear/bear_6.jpg']","['That bear would chase you in a minute.', 'The woodpecker was not afraid of the bear.', 'The caribou and the bear could smell one another.', 'The bear found its next prey in the hare.', 'The swan was not bothered by the bear.', 'The bear ran from the rattlesnake. ']"
14,beat,3.97,"['stimuli/images/Beat/beat_1.jpg', 'stimuli/images/Beat/beat_2.jpg', 'stimuli/images/Beat/beat_3.jpg', 'stimuli/images/Beat/beat_4.jpg', 'stimuli/images/Beat/beat_5.jpg', 'stimuli/images/Beat/beat_6.jpg']","['The beat of the music was soulful.', 'The song had a catchy beat.', 'She tapped her foot to the rhythmic beat.', 'He thought that the beat had a good vibe.', 'People thrashed their heads to the beat. ', 'She can strum the beat on her guitar. ']"
15,bed,5.0,"['stimuli/images/Bed/bed_1.jpg', 'stimuli/images/Bed/bed_2.jpg', 'stimuli/images/Bed/bed_3.jpg', 'stimuli/images/Bed/bed_4.jpg', 'stimuli/images/Bed/bed_5.jpg', 'stimuli/images/Bed/bed_6.jpg']","['She enjoyed sleeping in her own bed.', 'The cot replaced the bed for the night.', 'Napping in bed can be good for you.', 'The toddler crawled onto the bed.', 'The bed cushions sagged quickly.', 'He took the blanket off of the bed.']"
16,beer,4.88,"['stimuli/images/Beer/beer_1.jpg', 'stimuli/images/Beer/beer_2.jpg', 'stimuli/images/Beer/beer_3.jpg', 'stimuli/images/Beer/beer_4.jpg', 'stimuli/images/Beer/beer_5.jpg', 'stimuli/images/Beer/beer_6.jpg']","['Guys tend to like beer more than wine.', 'He grabbed a bottle of beer from the fridge. ', 'The bartender served her a cold wheat beer.', 'She ordered a margarita after seeing the beer options.', 'On this hot day she was dying for a pint of beer.', 'He was thirsty, but luckily he had lots of beer in the fridge. ']"
17,big,3.66,"['stimuli/images/Big/big_1.jpg', 'stimuli/images/Big/big_2.jpg', 'stimuli/images/Big/big_3.jpg', 'stimuli/images/Big/big_4.jpg', 'stimuli/images/Big/big_5.jpg', 'stimuli/images/Big/big_6.jpg']","['He preferred to be a big fish in a small pond.', ""While he wasn't quite obese, he had gotten quite big."", 'Cutting down the branches of the big tree was a substantial job.', 'His big feet were disproportionate to the rest of his body.', 'There was a big selection of a hodgepodge of foods.', 'A bucketful of big strawberries awaited them. ']"
18,bird,5.0,"['stimuli/images/Bird/bird_1.jpg', 'stimuli/images/Bird/bird_2.jpg', 'stimuli/images/Bird/bird_3.jpg', 'stimuli/images/Bird/bird_4.jpg', 'stimuli/images/Bird/bird_5.jpg', 'stimuli/images/Bird/bird_6.jpg']","['The bird flew around the cage.', 'The nest was just big enough for the bird.', 'The only bird she could see was the parrot.', 'The bird poked its head out of the hatch.', 'The bird was holding the worm in its beak. ', 'The bird preened itself for mating.']"
19,blood,4.86,"['stimuli/images/Blood/blood_1.jpg', 'stimuli/images/Blood/blood_2.jpg', 'stimuli/images/Blood/blood_3.jpg', 'stimuli/images/Blood/blood_4.jpg', 'stimuli/images/Blood/blood_5.jpg', 'stimuli/images/Blood/blood_6.jpg']","['She had been bleeding for a while so there was a lot of blood.', 'She has been having issues with blood circulation in her legs.', 'Blood began to fill the wound.', 'Blood spurted out of the rupture. ', 'Blood flows through the major artery.', 'The blood in a vein appears blue through our skin. ']"
20,body,4.79,"['stimuli/images/Body/body_1.jpg', 'stimuli/images/Body/body_2.jpg', 'stimuli/images/Body/body_3.jpg', 'stimuli/images/Body/body_4.jpg', 'stimuli/images/Body/body_5.jpg', 'stimuli/images/Body/body_6.jpg']","['The man had a very athletic body. ', 'Her body was very skinny.', 'She felt like her body was frumpy.', 'The body of the dress made her look shapeless.', 'The midsection of his body was well trained.', ""Outside of the limelight, the model's body was unimposing. ""]"
21,brain,4.69,"['stimuli/images/Brain/brain_1.jpg', 'stimuli/images/Brain/brain_2.jpg', 'stimuli/images/Brain/brain_3.jpg', 'stimuli/images/Brain/brain_4.jpg', 'stimuli/images/Brain/brain_5.jpg', 'stimuli/images/Brain/brain_6.jpg']","['The human brain continues to amaze us today.', 'The brain is made up of cells. ', 'Awake surgery is possible because the brain has no nerve endings.', 'A fundamental unit of the brain is the neuron. ', 'Neuroscientists research the localization of functions in the brain.', 'The cerebellum is one of the oldest parts of the brain. ']"
22,broken,4.11,"['stimuli/images/Broken/broken_1.jpg', 'stimuli/images/Broken/broken_2.jpg', 'stimuli/images/Broken/broken_3.jpg', 'stimuli/images/Broken/broken_4.jpg', 'stimuli/images/Broken/broken_5.jpg', 'stimuli/images/Broken/broken_6.jpg']","['The missing mirror turned out to be broken.', 'The broken leg made the table unstable.', 'She dangerously teetered on the broken chair.', 'The disorganized room was full of broken things.', 'The computer was hopelessly broken. ', 'The door hung crooked after being broken. ']"
23,building,4.64,"['stimuli/images/Building/building_1.jpg', 'stimuli/images/Building/building_2.jpg', 'stimuli/images/Building/building_3.jpg', 'stimuli/images/Building/building_4.jpg', 'stimuli/images/Building/building_5.jpg', 'stimuli/images/Building/building_6.jpg']","['The building used to be a theater.', 'The library building has been around for years.', 'Their building is a mansion just for themselves.', 'The janitor put a mousetrap at the entrance of the building.', ""The skyscraper is the city's newest building."", 'The mosque is the lowest building on the street. ']"
24,burn,4.11,"['stimuli/images/Burn/burn_1.jpg', 'stimuli/images/Burn/burn_2.jpg', 'stimuli/images/Burn/burn_3.jpg', 'stimuli/images/Burn/burn_4.jpg', 'stimuli/images/Burn/burn_5.jpg', 'stimuli/images/Burn/burn_6.jpg']","['The fire would burn slowly. ', 'The cigarette could burn her skin. ', 'A blowtorch will burn all night. ', 'The inflammable jacket will never burn. ', 'The heat of the stove in itself can burn you. ', 'The flashbulb may burn the curtain. ']"
25,business,3.28,"['stimuli/images/Business/business_1.jpg', 'stimuli/images/Business/business_2.jpg', 'stimuli/images/Business/business_3.jpg', 'stimuli/images/Business/business_4.jpg', 'stimuli/images/Business/business_5.jpg', 'stimuli/images/Business/business_6.jpg']","['Banking and business make no sense to me.', 'The company wanted to improve its business sector.', 'He wanted to invest in a better business.  ', 'Her business needed to take out a loan.', 'The business wanted to expand its physical property.', 'This new business venture could make her rich. ']"
26,camera,5.0,"['stimuli/images/Camera/camera_1.jpg', 'stimuli/images/Camera/camera_2.jpg', 'stimuli/images/Camera/camera_3.jpg', 'stimuli/images/Camera/camera_4.jpg', 'stimuli/images/Camera/camera_5.jpg', 'stimuli/images/Camera/camera_6.jpg']","['The best camera has an unremarkable screen size. ', 'The spectrum of colors that this camera captures is unreal.', 'The camera shutter broke as it fell on the concrete. ', ""The camera didn't focus and took poor-quality pictures."", 'The camera display had numerous menu options. ', 'The camera reflex was too slow for what he wanted. ']"
27,carefully,2.15,"['stimuli/images/Carefully/carefully_1.jpg', 'stimuli/images/Carefully/carefully_2.jpg', 'stimuli/images/Carefully/carefully_3.jpg', 'stimuli/images/Carefully/carefully_4.jpg', 'stimuli/images/Carefully/carefully_5.jpg', 'stimuli/images/Carefully/carefully_6.jpg']","['She carefully handled the roses one by one.', 'She performed the job carefully yet efficiently. ', 'He creatively described the problem while carefully explaining the details.', 'The food was neatly and carefully arranged. ', 'The house was carefully and flawlessly constructed. ', 'She conducted it so carefully, that the outcome was brilliantly designed. ']"
28,challenge,2.11,"['stimuli/images/Challenge/challenge_1.jpg', 'stimuli/images/Challenge/challenge_2.jpg', 'stimuli/images/Challenge/challenge_3.jpg', 'stimuli/images/Challenge/challenge_4.jpg', 'stimuli/images/Challenge/challenge_5.jpg', 'stimuli/images/Challenge/challenge_6.jpg']","['This problem proved to be a challenge.', 'The hardship was a challenge she could overcome. ', 'A challenge is an obstacle to overcome.', ""The challenge's burden scared her."", 'It was critical to the team that he passed this challenge.', 'The way he passed the challenge was formidable. ']"
29,charity,2.62,"['stimuli/images/Charity/charity_1.jpg', 'stimuli/images/Charity/charity_2.jpg', 'stimuli/images/Charity/charity_3.jpg', 'stimuli/images/Charity/charity_4.jpg', 'stimuli/images/Charity/charity_5.jpg', 'stimuli/images/Charity/charity_6.jpg']","['This group often volunteers for charity.', 'The social organization developed a new devotion to charity.', 'The charity was improving its monetary allocations.', ""The charity event increased everyone's awareness of the worthy cause."", 'The charity is a resource for families with needs to turn to. ', 'I encourage you to participate in the charity fundraiser. ']"
30,charming,2.14,"['stimuli/images/Charming/charming_1.jpg', 'stimuli/images/Charming/charming_2.jpg', 'stimuli/images/Charming/charming_3.jpg', 'stimuli/images/Charming/charming_4.jpg', 'stimuli/images/Charming/charming_5.jpg', 'stimuli/images/Charming/charming_6.jpg']","['The ambitious salesman was quite charming.', 'Her loveable laugh was charming.', 'His charming smile was beguiling. ', ""The speaker's charismatic nature was charming."", ""The charming toddler's mischievousness got him into trouble. "", 'The proposal was charming and rather gutsy. ']"
31,clothes,4.76,"['stimuli/images/Clothes/clothes_1.jpg', 'stimuli/images/Clothes/clothes_2.jpg', 'stimuli/images/Clothes/clothes_3.jpg', 'stimuli/images/Clothes/clothes_4.jpg', 'stimuli/images/Clothes/clothes_5.jpg', 'stimuli/images/Clothes/clothes_6.jpg']","['None of his clothes are made of mesh.', ""Sizing a growing boy's clothes is a difficult task. "", ""That hat doesn't match his clothes. "", 'His clothes are often made of flannel. ', 'Sports clothes are usually made of spandex.', 'His jacket protected his clothes from getting wet.  ']"
32,cockroach,4.96,"['stimuli/images/Cockroach/cockroach_1.jpg', 'stimuli/images/Cockroach/cockroach_2.jpg', 'stimuli/images/Cockroach/cockroach_3.jpg', 'stimuli/images/Cockroach/cockroach_4.jpg', 'stimuli/images/Cockroach/cockroach_5.jpg', 'stimuli/images/Cockroach/cockroach_6.jpg']","['The pest control killed the cockroach speedily. ', 'The cockroach fed off the mold.', 'The cockroach ate the ant.', 'In the kids story, the grasshopper and the cockroach became friends.', 'The cockroach infestation overwhelmed her. ', 'The pesky cockroach managed to survive.  ']"
33,code,3.0,"['stimuli/images/Code/code_1.jpg', 'stimuli/images/Code/code_2.jpg', 'stimuli/images/Code/code_3.jpg', 'stimuli/images/Code/code_4.jpg', 'stimuli/images/Code/code_5.jpg', 'stimuli/images/Code/code_6.jpg']","['Please change the code to make it run faster.', 'He saved the code quickly when he came up with a new solution.', 'She added new code to the script.', ""He could code like a pro, but he couldn't type fast."", 'The key to good code is simplicity. ', ""She needs to modify her code to take user's inputs.""]"
34,collection,4.04,"['stimuli/images/Collection/collection_1.jpg', 'stimuli/images/Collection/collection_2.jpg', 'stimuli/images/Collection/collection_3.jpg', 'stimuli/images/Collection/collection_4.jpg', 'stimuli/images/Collection/collection_5.jpg', 'stimuli/images/Collection/collection_6.jpg']","['Her collection of precious antiques was her pride and joy.', 'He hoarded a collection of autographs of famous people.', 'Since childhood, she has been growing a collection of postcards and other souvenirs.', 'He stole more than one stamp to complete his collection.', ""The item wasn't worth adding to the collection."", 'She assembled a collection from items bought at auctions.']"
35,computer,4.93,"['stimuli/images/Computer/computer_1.jpg', 'stimuli/images/Computer/computer_2.jpg', 'stimuli/images/Computer/computer_3.jpg', 'stimuli/images/Computer/computer_4.jpg', 'stimuli/images/Computer/computer_5.jpg', 'stimuli/images/Computer/computer_6.jpg']","['The system crashed so he needed another computer.', 'Running the application made the computer freeze.', 'She has never used this kind of interface on her computer before.', 'The infrastructure of the computer might as well be a black box.', 'He was streaming music from his computer. ', 'His desktop computer is pretty old. ']"
36,construction,3.72,"['stimuli/images/Construction/construction_1.jpg', 'stimuli/images/Construction/construction_2.jpg', 'stimuli/images/Construction/construction_3.jpg', 'stimuli/images/Construction/construction_4.jpg', 'stimuli/images/Construction/construction_5.jpg', 'stimuli/images/Construction/construction_6.jpg']","['Construction slowed down as soon as the last wall was put up.', 'Plastering is an important step in construction.', 'The construction process began with flooring.', 'The remodeling would require three years of construction.', 'The homeowner hated the noise of construction.', 'The workmanship of the construction company was amazing.  ']"
37,cook,4.32,"['stimuli/images/Cook/cook_1.jpg', 'stimuli/images/Cook/cook_2.jpg', 'stimuli/images/Cook/cook_3.jpg', 'stimuli/images/Cook/cook_4.jpg', 'stimuli/images/Cook/cook_5.jpg', 'stimuli/images/Cook/cook_6.jpg']","['To cook the fish you have to defrost it first. ', 'If she wanted to cook, she would need a larger fridge. ', 'He thought he could cook when he bought the pan.', 'The steaming pot revealed how well she could cook. ', 'He thought you had to cook the dough. ', 'To cook the stew, first warm up the stove. ']"
38,counting,3.57,"['stimuli/images/Counting/counting_1.jpg', 'stimuli/images/Counting/counting_2.jpg', 'stimuli/images/Counting/counting_3.jpg', 'stimuli/images/Counting/counting_4.jpg', 'stimuli/images/Counting/counting_5.jpg', 'stimuli/images/Counting/counting_6.jpg']","[""He couldn't count past five. "", 'He will count backwards to one.', 'She was already able to count to a hundred.  ', 'I will count by fives to speed it up. ', 'I can count the tally for you.  ', 'He will count up to fourteen. ']"
39,crazy,2.37,"['stimuli/images/Crazy/crazy_1.jpg', 'stimuli/images/Crazy/crazy_2.jpg', 'stimuli/images/Crazy/crazy_3.jpg', 'stimuli/images/Crazy/crazy_4.jpg', 'stimuli/images/Crazy/crazy_5.jpg', 'stimuli/images/Crazy/crazy_6.jpg']","['His nightmare drove him crazy.', 'The crazy taxi driver was freaky.', 'The animal had a crazy and bloodthirsty look to it. ', 'The crazy demon was just grotesque. ', 'The ritual felt crazy and animalistic.', 'As crazy as the dystopia was, it was his new life. ']"
40,damage,3.2,"['stimuli/images/Damage/damage_1.jpg', 'stimuli/images/Damage/damage_2.jpg', 'stimuli/images/Damage/damage_3.jpg', 'stimuli/images/Damage/damage_4.jpg', 'stimuli/images/Damage/damage_5.jpg', 'stimuli/images/Damage/damage_6.jpg']","['The accident left some serious damage.', 'The impact of the snow required damage control.', 'The possibility of damage kept her nervous.', 'The inevitable damage caused by the storm was all he could talk about.', 'Severe damage from the flood left many without a home.', 'The amount of damage in the streets was unexpected. ']"
41,dance,4.32,"['stimuli/images/Dance/dance_1.jpg', 'stimuli/images/Dance/dance_2.jpg', 'stimuli/images/Dance/dance_3.jpg', 'stimuli/images/Dance/dance_4.jpg', 'stimuli/images/Dance/dance_5.jpg', 'stimuli/images/Dance/dance_6.jpg']","['He had to shuffle through the steps of the dance.', 'She learned how the dance in ballroom class last year.', 'Juggling dance and gymnastics was hard.', 'The Irish folk dance requires fast footwork.', 'He was found dancing the dance all the time.', 'Walking the dance helped him learn it. ']"
42,dangerous,2.13,"['stimuli/images/Dangerous/dangerous_1.jpg', 'stimuli/images/Dangerous/dangerous_2.jpg', 'stimuli/images/Dangerous/dangerous_3.jpg', 'stimuli/images/Dangerous/dangerous_4.jpg', 'stimuli/images/Dangerous/dangerous_5.jpg', 'stimuli/images/Dangerous/dangerous_6.jpg']","['The punishment was dangerous and cruel.', 'Climbing that bridge was boneheaded and dangerous. ', 'Aggravating the president was unpatriotic and plain dangerous.', 'It was unwise to take on that dangerous of a task. ', 'The dangerous monster smelled atrociously.', 'It is unacceptable how dangerous these living conditions are. ']"
43,deceive,1.68,"['stimuli/images/Deceive/deceive_1.jpg', 'stimuli/images/Deceive/deceive_2.jpg', 'stimuli/images/Deceive/deceive_3.jpg', 'stimuli/images/Deceive/deceive_4.jpg', 'stimuli/images/Deceive/deceive_5.jpg', 'stimuli/images/Deceive/deceive_6.jpg']","['To lie is to deceive.', 'How could he deceive her in such a devious way?', 'His ploy was to deceive the old lady over a long period of time. ', 'The plan was to bribe and deceive him quickly. ', 'She did not want to deceive him, but she was too far into the operative now. ', 'The motive was serious enough for him to deceive his friend. ']"
44,dedication,2.16,"['stimuli/images/Dedication/dedication_1.jpg', 'stimuli/images/Dedication/dedication_2.jpg', 'stimuli/images/Dedication/dedication_3.jpg', 'stimuli/images/Dedication/dedication_4.jpg', 'stimuli/images/Dedication/dedication_5.jpg', 'stimuli/images/Dedication/dedication_6.jpg']","['His passionate proclamation demonstrated his dedication.', 'His dedication to his job is what made him so successful.', 'Her dedication spurred her pursuit of the best caterer.', 'Her dedication mirrored her commitment to the task.', 'His dedication to the relationship meant he was very faithful to her. ', 'Her loyal dedication was demonstrated over the years.  ']"
45,deliberately,2.86,"['stimuli/images/Deliberately/deliberately_1.jpg', 'stimuli/images/Deliberately/deliberately_2.jpg', 'stimuli/images/Deliberately/deliberately_3.jpg', 'stimuli/images/Deliberately/deliberately_4.jpg', 'stimuli/images/Deliberately/deliberately_5.jpg', 'stimuli/images/Deliberately/deliberately_6.jpg']","['She deliberately and wrongfully hurt her friend.', 'He ruthlessly and deliberately ignored her that night. ', 'She inadvertently stepped on him and he deliberately pushed her in response.', 'He arbitrarily, rather than deliberately, asked her out. ', 'The decision was made deliberately and it unjustly cost her her job.', 'He foolishly accepted the offer that deliberately cut his wage in half. ']"
46,delivery,3.69,"['stimuli/images/Delivery/delivery_1.jpg', 'stimuli/images/Delivery/delivery_2.jpg', 'stimuli/images/Delivery/delivery_3.jpg', 'stimuli/images/Delivery/delivery_4.jpg', 'stimuli/images/Delivery/delivery_5.jpg', 'stimuli/images/Delivery/delivery_6.jpg']","['The website offered free delivery. ', 'The delivery date was unclear. ', 'The form of delivery was up to him. ', 'She wanted to intercept the delivery so that no one else could see it.', 'He wanted confirmation of the delivery. ', 'Because time was of essence, she requested express delivery.']"
47,dessert,4.93,"['stimuli/images/Dessert/dessert_1.jpg', 'stimuli/images/Dessert/dessert_2.jpg', 'stimuli/images/Dessert/dessert_3.jpg', 'stimuli/images/Dessert/dessert_4.jpg', 'stimuli/images/Dessert/dessert_5.jpg', 'stimuli/images/Dessert/dessert_6.jpg']","['Ice cream is her favorite dessert.', 'Candy is a good choice for dessert.', 'The dessert at the dinner was fruitcake.', 'Yogurt did not replace dessert in her mind.', 'The jelly sandwich was practically dessert. ', 'The filling of the dessert was marvelous. ']"
48,device,3.97,"['stimuli/images/Device/device_1.jpg', 'stimuli/images/Device/device_2.jpg', 'stimuli/images/Device/device_3.jpg', 'stimuli/images/Device/device_4.jpg', 'stimuli/images/Device/device_5.jpg', 'stimuli/images/Device/device_6.jpg']","[""She didn't understand how to position the antenna so that the device would work."", 'The device was wired in a very simple way. ', 'She had to coax the device to get it going again. ', 'The switch on the device popped off unexpectedly.', 'The device was disconnected from the power outlet.', 'The transistor was built into the device. ']"
49,dig,4.33,"['stimuli/images/Dig/dig_1.jpg', 'stimuli/images/Dig/dig_2.jpg', 'stimuli/images/Dig/dig_3.jpg', 'stimuli/images/Dig/dig_4.jpg', 'stimuli/images/Dig/dig_5.jpg', 'stimuli/images/Dig/dig_6.jpg']","['He can dig and discover all he wants. ', 'The erosion made it difficult to dig.', ""He didn't want to dig in the excavation."", ""The fossil was found after most people didn't want to dig anymore.  "", 'You can dig a ditch in a few hours.', ""While he wanted to dig, he didn't want to be underground. ""]"
50,dinner,4.5,"['stimuli/images/Dinner/dinner_1.jpg', 'stimuli/images/Dinner/dinner_2.jpg', 'stimuli/images/Dinner/dinner_3.jpg', 'stimuli/images/Dinner/dinner_4.jpg', 'stimuli/images/Dinner/dinner_5.jpg', 'stimuli/images/Dinner/dinner_6.jpg']","['Her lunch is often made up of leftovers from dinner. ', 'He wanted a sandwich for dinner.', 'Noodles from dinner were still on the table.  ', 'Fondue for dinner is her favorite.', 'I would like to serve dinner now.', 'The dinner was super yummy. ']"
51,disease,3.45,"['stimuli/images/Disease/disease_1.jpg', 'stimuli/images/Disease/disease_2.jpg', 'stimuli/images/Disease/disease_3.jpg', 'stimuli/images/Disease/disease_4.jpg', 'stimuli/images/Disease/disease_5.jpg', 'stimuli/images/Disease/disease_6.jpg']","['Heart disease is common in the U.S.', 'Type Two Diabetes is a disease that usually only adults get.', 'The tumor was a symptom of a serious disease.', 'Abnormal test results indicated the onset of a disease.', 'The patient was relieved to hear that his disease was in remission. ', ""They didn't know the source of his respiratory disease. ""]"
52,dissolve,3.15,"['stimuli/images/Dissolve/dissolve_1.jpg', 'stimuli/images/Dissolve/dissolve_2.jpg', 'stimuli/images/Dissolve/dissolve_3.jpg', 'stimuli/images/Dissolve/dissolve_4.jpg', 'stimuli/images/Dissolve/dissolve_5.jpg', 'stimuli/images/Dissolve/dissolve_6.jpg']","['Inject some more solution to dissolve the powder.', ""You won't dissolve the issue by asking them to disperse. "", 'Dissolve the substance and let it evaporate. ', 'Distill and dissolve the issue immediately. ', ""You won't dissolve the memory if you compartmentalize it. "", 'Demystify and dissolve the rumor. ']"
53,disturb,3.04,"['stimuli/images/Disturb/disturb_1.jpg', 'stimuli/images/Disturb/disturb_2.jpg', 'stimuli/images/Disturb/disturb_3.jpg', 'stimuli/images/Disturb/disturb_4.jpg', 'stimuli/images/Disturb/disturb_5.jpg', 'stimuli/images/Disturb/disturb_6.jpg']","['His insult will disturb her deeply.', ""He can disturb her as much as he likes, it won't affect me."", 'He can disturb and aggravate just about anyone.', ""Conspire as much as you like, it won't disturb her. "", ""Restrain yourself and don't disturb the peace. "", 'If you disturb the meeting, you might jeopardize your chances. ']"
54,do,2.46,"['stimuli/images/Do/do_1.jpg', 'stimuli/images/Do/do_2.jpg', 'stimuli/images/Do/do_3.jpg', 'stimuli/images/Do/do_4.jpg', 'stimuli/images/Do/do_5.jpg', 'stimuli/images/Do/do_6.jpg']","['Do you often deviate from the rules?', 'I do not falter when I know what I want.', 'You do get punished if you misbehave. ', 'Do me no wrong and divulge the secret. ', 'I dare you to do that. ', 'You do have the tendency to annoy me. ']"
